# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
chao 	潮	c=1 d=1 t=14952
chao 	超	c=11 d=2.96134 t=34460
chao bei 	朝北	c=1 d=1 t=27076
chao guo 	超过	c=1 d=1 t=6874
chao ji 	超级	c=1 d=1 t=20640
chao liu 	潮流	c=1 d=1 t=29496
chao liu 	超六	c=2 d=1.89137 t=33591
chao qi lai le 	吵起来了	c=1 d=1 t=30536
chao shi 	超市	c=2 d=1 t=25504
chao shi 	超时	c=2 d=1 t=35352
chao song 	抄送	c=1 d=1 t=29084
chao xi 	朝西	c=1 d=1 t=27523
chao xiang 	朝向	c=1 d=1 t=27296
chao xiang hao 	朝向好	c=1 d=1 t=29645
che 	扯	c=1 d=1 t=23525
che 	车	c=14 d=1.00002 t=37866
che di 	彻底	c=4 d=1 t=42103
che hui 	撤回	c=1 d=1 t=27399
che hui lai 	撤回来	c=1 d=1 t=5880
che li 	撤离	c=1 d=1 t=11309
che li 	车里	c=2 d=1.06111 t=11869
che wei 	车位	c=2 d=1.69073 t=1542
che zhan 	车站	c=1 d=1.00066 t=23621
che zhan dong jie 	车站东街	c=1 d=1 t=22618
chen 	陈	c=5 d=1 t=27156
chen bo wen 	陈博文	c=1 d=1 t=16136
chen jin shi 	沉浸式	c=2 d=1.32465 t=35507
chen zong 	陈总	c=11 d=1 t=41800
cheng 	成	c=38 d=1.05931 t=36796
cheng 	澄	c=1 d=1 t=1670
cheng 	诚	c=3 d=2.07321 t=25715
cheng ben 	成本	c=3 d=1 t=26850
cheng bu guo 	撑不过	c=1 d=1 t=14391
cheng du 	成都	c=1 d=1 t=35188
cheng du 	程度	c=2 d=1 t=39331
cheng gong 	成功	c=8 d=1 t=35138
cheng guan 	城管	c=2 d=1.99501 t=3792
cheng ji 	成绩	c=1 d=1 t=3227
cheng le 	成了	c=4 d=1 t=24547
cheng li 	城里	c=1 d=1 t=9932
cheng ren 	成人	c=1 d=1 t=41046
cheng se 	橙色	c=2 d=1 t=38012
cheng shi 	城市	c=1 d=1 t=8504
cheng xu 	程序	c=15 d=2.66059 t=40231
cheng xu yuan 	程序员	c=4 d=1 t=14865
cheng yu jie long 	成语接龙	c=2 d=1 t=39316
cheng zhong qiang 	承重墙	c=1 d=1 t=32132
chi 	吃	c=16 d=1 t=41526
chi cun 	尺寸	c=6 d=1 t=34361
chi de 	吃的	c=1 d=1 t=6889
chi dian 	吃点	c=2 d=1 t=32503
chi duo 	吃多	c=1 d=1 t=28206
chi duo le 	吃多了	c=1 d=1 t=41531
chi fan 	吃饭	c=13 d=1.02436 t=41530
chi guo 	吃过	c=1 d=1 t=36922
chi ji 	吃鸡	c=1 d=1 t=22845
chi ju zi 	斥巨资	c=1 d=1 t=9008
chi le 	吃了	c=1 d=1 t=16987
chi le me 	吃了么	c=2 d=1.99005 t=36932
chi qu 	吃去	c=0 d=0.1 t=129
chi qu ba 	吃去吧	c=1 d=1 t=12499
chi qu bei 	吃去呗	c=1 d=1 t=130
chi wan le 	吃完了	c=1 d=1 t=38061
chi yao 	吃药	c=6 d=1.01641 t=35724
chi zi 	尺子	c=1 d=1 t=14456
chi zi 	池子	c=1 d=1 t=32942
chong 	充	c=3 d=1.05169 t=30895
chong ding xiang 	重定向	c=4 d=1.00014 t=35596
chong fu 	重复	c=9 d=4.14671 t=37373
chong hao dian 	充好电	c=1 d=1 t=10700
chong jin lai 	冲进来	c=1 d=1 t=23032
chong man le 	充满了	c=1 d=1 t=11340
chong pao 	重跑	c=23 d=1.84105 t=40431
chong pao le 	冲跑了	c=1 d=1 t=23395
chong qi 	重启	c=14 d=1.00005 t=34244
chong qing 	重庆	c=1 d=1 t=19328
chong shen me qian 	充什么钱	c=1 d=1 t=30764
chong shi 	重试	c=1 d=1 t=39758
chong tu 	冲突	c=9 d=4.75043 t=24650
chong xie 	重写	c=2 d=1 t=10719
chong xin 	重新	c=29 d=1.00111 t=39397
chong yi xia 	冲一下	c=1 d=1 t=30894
chong zhi 	充值	c=3 d=1 t=41537
chong zi 	虫子	c=1 d=1 t=15039
chou 	抽	c=2 d=1 t=26672
chou 	臭	c=2 d=0.1 t=32562
chou er zi 	臭儿子	c=1 d=1 t=32563
chou kong 	抽空	c=2 d=1 t=40618
chou ni 	抽你	c=1 d=1 t=31175
chou pai 	抽牌	c=1 d=1 t=14769
chou xiang 	抽象	c=11 d=1 t=34559
chu 	出	c=33 d=1.01775 t=39783
chu 	初	c=1 d=1 t=13817
chu bu 	初步	c=2 d=1.86936 t=813
chu chang 	出厂	c=1 d=1 t=11377
chu chang 	出场	c=1 d=1 t=11376
chu chu 	出处	c=2 d=1.64404 t=34535
chu fa 	出发	c=2 d=1 t=6281
chu fa 	触发	c=1 d=1 t=39457
chu fa qi 	触发器	c=1 d=1 t=6262
chu fang 	厨房	c=3 d=1.97531 t=27371
chu fei 	除非	c=5 d=1 t=36169
chu guo 	出国	c=1 d=1 t=33788
chu jia men 	出家门	c=2 d=1.81058 t=1383
chu kou 	出口	c=2 d=1 t=22185
chu lai 	出来	c=46 d=2.04604 t=39919
chu lai gao 	出来搞	c=1 d=1 t=1936
chu lai le ma 	出来了吗	c=1 d=1 t=27452
chu le 	出了	c=4 d=1 t=37470
chu le 	除了	c=3 d=1 t=28976
chu li 	处理	c=20 d=1.13266 t=40559
chu men 	出门	c=2 d=1 t=17844
chu mo ping 	触摸屏	c=1 d=1 t=31609
chu qu 	出去	c=3 d=1 t=27424
chu san 	初三	c=1 d=1 t=3674
chu se 	出色	c=1 d=1 t=26493
chu sheng 	出生	c=5 d=2.6422 t=34603
chu si 	处死	c=1 d=1 t=25432
chu tou 	出头	c=1 d=1 t=36672
chu wang 	出网	c=1 d=1 t=22254
chu wen ti 	出问题	c=3 d=1 t=42061
chu xian 	出现	c=2 d=1.00011 t=6358
chu xin 	出新	c=0 d=0.1 t=25919
chu xin a 	出新啊	c=1 d=1 t=25920
chu yin 	初音	c=1 d=1 t=14939
chu zhong 	出众	c=1 d=1 t=8286
chu zhong 	初中	c=6 d=2.13685 t=36281
chu zhong 	初衷	c=1 d=1 t=8287
chu zu 	出租	c=4 d=1.96136 t=10298
chuan 	串	c=1 d=1 t=16047
chuan 	传	c=2 d=1.89137 t=17066
chuan 	穿	c=1 d=1 t=8973
chuan bei 	川贝	c=1 d=1 t=6445
chuan bu liao 	穿不了	c=1 d=1 t=23010
chuan can 	传参	c=1 d=1 t=33082
chuan da 	传达	c=1 d=1 t=25554
chuan dan 	传单	c=1 d=1 t=32401
chuan dao 	传到	c=2 d=1 t=14960
chuan gei wo 	传给我	c=1 d=1 t=15258
chuan ran 	传染	c=1 d=1 t=6460
chuan ren 	传人	c=1 d=1 t=5555
chuan shang 	传上	c=0 d=0.1 t=27489
chuan shang le 	传上了	c=1 d=1 t=27490
chuan shao 	穿少	c=1 d=1 t=30821
chuan shen 	传身	c=1 d=1 t=2215
chuan tong 	传统	c=1 d=1 t=5165
chuan yue ji 	穿越机	c=1 d=1 t=37527
chuang 	床	c=15 d=1.53666 t=30238
chuang guan 	闯关	c=1 d=1 t=31975
chuang guang 	床光	c=1 d=1 t=31974
chuang hong deng 	闯红灯	c=1 d=1 t=34777
chuang hu 	窗户	c=3 d=1 t=41316
chuang jian 	创建	c=11 d=1 t=37392
chuang ye 	创业	c=1 d=1 t=21238
chuang yi 	创意	c=1 d=1 t=1942
chuang zao 	创造	c=1 d=1 t=9002
chui ge 	吹个	c=1 d=1 t=11524
chui le 	吹了	c=1 d=1 t=32024
chui niu bi 	吹牛逼	c=3 d=1 t=40784
chui qi 	吹起	c=1 d=1 t=25056
chun 	纯	c=4 d=1 t=31687
chun bai 	纯白	c=1 d=1 t=34130
chun chun 	纯纯	c=2 d=1.80252 t=1377
chun jie 	春节	c=1 d=1 t=11919
chun shu 	纯属	c=0 d=0.1 t=32166
chun shu guan 	纯属管	c=1 d=1 t=32167
chun yong 	纯用	c=1 d=1 t=31746
ci 	次	c=3 d=1 t=33307
ci 	词	c=3 d=1.00417 t=35540
ci lei 	此类	c=1 d=1 t=16933
ci pan 	磁盘	c=3 d=1 t=36676
ci qu 	辞去	c=1 d=1 t=19431
ci shan 	慈善	c=1 d=1 t=26409
ci shi 	此事	c=1 d=1 t=6415
ci shi ci ke 	此时此刻	c=1 d=1 t=40332
ci shu 	次数	c=2 d=1 t=33880
cong 	从	c=44 d=1.11127 t=39303
cong lai 	从来	c=2 d=1 t=30573
cong tou 	从头	c=1 d=1 t=5362
cong tou dao wei 	从头到尾	c=1 d=1 t=10525
cong wei 	从未	c=0 d=0.1 t=39208
cong wei liao jie 	从未了解	c=1 d=1 t=39209
cou 	凑	c=1 d=1 t=27694
cou he 	凑合	c=2 d=1 t=36359
cou he yong 	凑合用	c=1 d=1 t=2813
cou zi shu 	凑字数	c=1 d=1 t=5499
cuan 	攒	c=3 d=2.71803 t=33677
cuan ji 	攒机	c=1 d=1 t=34113
cui 	催	c=2 d=1.99005 t=32108
cun 	存	c=14 d=6.44778 t=37128
cun 	寸	c=12 d=1.99007 t=39139
cun chu 	存储	c=2 d=1.9802 t=32327
cun fang 	存放	c=2 d=1 t=36974
cun min dai biao 	村民代表	c=1 d=1 t=27253
cun yi 	存疑	c=1 d=1 t=34046
cun zai 	存在	c=13 d=1 t=39929
cun zhe 	存着	c=1 d=1 t=30680
cuo 	错	c=16 d=1.95336 t=40473
cuo le 	错了	c=2 d=1 t=37236
cuo wu 	错误	c=10 d=1.58093 t=40413
da 	大	c=17 d=1.00001 t=39580
da 	打	c=32 d=1.00013 t=40827
da ba shou 	搭把手	c=1 d=1 t=6131
da bai 	大白	c=0 d=0.1 t=30657
da bai gui zi 	大白柜子	c=2 d=1.97045 t=30664
da ban 	大阪	c=1 d=1 t=1710
da bao 	打包	c=8 d=2.77351 t=35314
da bao da lan 	大包大揽	c=1 d=1 t=12690
da biao qian 	打标签	c=1 d=1 t=12488
da bu chu lai 	答不出来	c=1 d=1 t=9114
da bu da suan 	打不打算	c=1 d=1 t=36175
da bu fen 	大部分	c=4 d=1 t=40716
da bu fen ren 	大部分人	c=1 d=1 t=3683
da bu kai 	打不开	c=1 d=1 t=39597
da cha bu cha 	大差不差	c=1 d=1 t=33544
da chang 	大厂	c=1 d=1 t=5597
da che 	打车	c=5 d=1 t=36870
da de 	大的	c=2 d=1 t=8902
da dian hua 	打电话	c=1 d=1 t=741
da duan 	大段	c=1 d=1 t=5312
da dui 	大队	c=1 d=1 t=30462
da fu 	大夫	c=2 d=1.81873 t=11622
da fu 	答复	c=2 d=1.91393 t=10457
da gai 	大概	c=31 d=1 t=41779
da gang 	大纲	c=2 d=1.99501 t=37676
da ge 	大哥	c=2 d=1 t=36094
da ge 	打个	c=2 d=1.94176 t=4681
da gong si 	大公司	c=1 d=1 t=30547
da guo 	打过	c=1 d=1 t=10261
da hang 	大行	c=1 d=1 t=30269
da he tong 	大合同	c=1 d=1 t=26957
da hong men 	大红门	c=1 d=1 t=36202
da hu lu 	打呼噜	c=1 d=1 t=41501
da hui 	大会	c=2 d=1 t=32052
da jia 	大家	c=8 d=1 t=33989
da jia 	打架	c=2 d=1 t=24339
da jian 	大件	c=2 d=1.9802 t=6089
da jian 	搭建	c=1 d=1 t=3828
da jie 	大姐	c=1 d=1 t=40958
da jie 	大街	c=0 d=0.1 t=9972
da jiu dian 	大酒店	c=1 d=1 t=5642
da kai 	打开	c=15 d=3.10489 t=38454
da kao 	大考	c=1 d=1 t=34332
da lao ban 	大老板	c=3 d=1.01317 t=18876
da le 	大了	c=1 d=1 t=1580
da li 	搭理	c=2 d=1 t=25103
da lian 	大连	c=1 d=1 t=11151
da lian 	打脸	c=1 d=1 t=17017
da lu 	大陆	c=1 d=1 t=25145
da man 	打满	c=1 d=1 t=9760
da man le 	打满了	c=1 d=1 t=26400
da mo 	打磨	c=1 d=1 t=2487
da mo xing 	大模型	c=8 d=2.35788 t=28142
da peng 	大芃	c=3 d=1 t=34373
da qi lai 	打起来	c=1 d=1 t=10584
da qian ti 	大前提	c=1 d=1 t=33208
da qiang 	打枪	c=1 d=1 t=9110
da rao 	打扰	c=2 d=1.99501 t=3113
da sao chu 	大扫除	c=1 d=1 t=15040
da shi 	大师	c=3 d=1.98511 t=34110
da shu ju 	大数据	c=1 d=1 t=3501
da shui piao 	打水漂	c=1 d=1 t=5186
da suan 	打算	c=9 d=1 t=40285
da tai ji 	打太极	c=1 d=1 t=18936
da ti 	答题	c=6 d=3.86361 t=31989
da ting 	打听	c=2 d=1.956 t=8495
da tong 	打通	c=1 d=1 t=23963
da tong xiao yi 	大同小异	c=1 d=1 t=41856
da tou 	大头	c=1 d=1 t=13292
da wei 	大为	c=5 d=1 t=40982
da xi tong 	大系统	c=2 d=1.55156 t=24858
da xiao 	大小	c=2 d=1 t=33613
da xing 	大兴	c=1 d=1 t=28921
da xing tu mu 	大兴土木	c=1 d=1 t=28919
da xing xing 	大猩猩	c=1 d=1 t=18284
da xue 	大学	c=4 d=1 t=41047
da yang 	大杨	c=1 d=1 t=31113
da ye 	大爷	c=6 d=1 t=18558
da yi gui 	大衣柜	c=1 d=1 t=30239
da yi ma 	大姨妈	c=2 d=1.72253 t=10778
da yin 	打印	c=46 d=1.11005 t=42095
da yin ji 	打印机	c=5 d=2.01343 t=37816
da yu 	大于	c=1 d=1 t=7317
da yu yan 	大预言	c=1 d=1 t=2771
da yue 	大悦	c=1 d=1 t=27622
da zao 	打造	c=1 d=1 t=24061
da zhan 	大战	c=2 d=1.16041 t=23703
da zhe 	打折	c=1 d=1 t=19275
da zhen 	打针	c=1 d=1 t=11393
da zhi zi 	大侄子	c=2 d=1.90032 t=33570
da zhong 	大众	c=2 d=1 t=4964
da zui ba zi 	大嘴巴子	c=1 d=1 t=31174
dai 	代	c=2 d=1.05105 t=38675
dai 	带	c=33 d=1.52167 t=41982
dai 	待	c=1 d=1 t=28328
dai 	袋	c=3 d=2.95566 t=38309
dai biao 	代表	c=2 d=1 t=9888
dai chu li 	待处理	c=1 d=1 t=19781
dai fu 	大夫	c=1 d=1 t=11602
dai guo 	带过	c=1 d=1 t=39587
dai guo qu 	带过去	c=1 d=1 t=28916
dai hao 	代号	c=1 d=1 t=2032
dai ku 	带库	c=1 d=1 t=22461
dai kuan 	带宽	c=5 d=1.24783 t=22465
dai le 	带了	c=1 d=1 t=24064
dai li 	代理	c=29 d=1 t=42003
dai li fu wu qi 	代理服务器	c=1 d=1 t=15900
dai ma 	代码	c=50 d=1.22626 t=40248
dai ma duan 	代码段	c=1 d=1 t=25825
dai ma li 	代码里	c=2 d=1 t=31403
dai ni 	带你	c=1 d=1 t=5438
dai san 	带伞	c=1 d=1 t=25709
dai shang 	带上	c=5 d=1 t=38741
dai shou 	代收	c=1 d=1 t=25165
dai shu 	代数	c=1 d=1 t=22533
dai ta 	带他	c=5 d=1.00002 t=35409
dai yan jing 	戴眼镜	c=1 d=1 t=8783
dai zhe 	带着	c=2 d=1 t=14423
dai zhi fu 	待支付	c=1 d=1 t=28339
dan 	丹	c=4 d=1 t=15239
dan 	但	c=5 d=1 t=19138
dan 	单	c=8 d=1.00383 t=37435
dan 	蛋	c=1 d=1 t=23085
dan chun 	单纯	c=1 d=1 t=32197
dan ci 	单次	c=2 d=1.52466 t=41558
dan ci biao 	单词表	c=1 d=1 t=35532
dan dian 	单店	c=4 d=1 t=31916
dan dou shi 	但都是	c=1 d=1 t=24096
dan du 	单独	c=17 d=1 t=40485
dan ji 	单机	c=1 d=1 t=22787
dan jia 	单价	c=1 d=1 t=37463
dan mu 	弹幕	c=4 d=1 t=33697
dan ni 	但你	c=1 d=1 t=7935
dan niu 	丹牛	c=6 d=1 t=35445
dan ren 	单人	c=1 d=1 t=10231
dan sheng 	诞生	c=1 d=1 t=18651
dan sheng ji 	诞生记	c=1 d=1 t=8275
dan shi 	但是	c=133 d=1.52733 t=41974
dan wei 	单位	c=2 d=1 t=32911
dan wei ming 	单位名	c=1 d=1 t=23149
dan wu 	耽误	c=3 d=1.35345 t=40902
dan xin 	担心	c=1 d=1 t=34385
dan zi 	单子	c=6 d=1.8194 t=37971
dang 	当	c=16 d=1.00003 t=40438
dang 	档	c=3 d=1.96079 t=11325
dang cheng 	当成	c=2 d=1 t=39174
dang chu 	当初	c=2 d=1 t=14305
dang di 	当地	c=3 d=2.16966 t=3391
dang guo 	当过	c=1 d=1 t=32426
dang hui shi 	当回事	c=1 d=1 t=16169
dang kou 	当口	c=1 d=1 t=8337
dang ni 	当你	c=2 d=1.99005 t=31469
dang nian 	当年	c=11 d=1 t=35873
dang qian 	当前	c=4 d=1 t=32293
dang ran 	当然	c=11 d=1 t=40522
dang sha 	当啥	c=1 d=1 t=8086
dang shi 	当时	c=22 d=2.60118 t=32219
dang tian 	当天	c=2 d=1 t=32589
dang wo 	当我	c=1 d=1 t=15683
dang yue 	当月	c=2 d=1.00017 t=9293
dang zuo 	当作	c=1 d=1 t=15840
dao 	刀	c=13 d=3.76623 t=34844
dao 	到	c=96 d=1.6424 t=41805
dao 	导	c=3 d=1.99005 t=31348
dao 	道	c=2 d=1.00103 t=6365
dao ban 	盗版	c=1 d=1 t=10152
dao bi 	倒闭	c=1 d=1 t=17857
dao bu liao 	到不了	c=2 d=1.98511 t=10852
dao chu 	导出	c=10 d=1 t=35977
dao de 	到的	c=1 d=1 t=1471
dao fu 	到付	c=1 d=1 t=23214
dao huo 	到货	c=3 d=1 t=25951
dao jia 	到家	c=19 d=1.00002 t=42028
dao jia 	道家	c=2 d=1.4607 t=5999
dao ju 	道具	c=1 d=1 t=14155
dao lai dao qu 	倒来倒去	c=1 d=1 t=20729
dao le 	到了	c=5 d=1 t=40318
dao le 	导了	c=1 d=1 t=26972
dao le ma 	到了吗	c=1 d=1 t=13609
dao li 	道理	c=1 d=1 t=41899
dao nian 	悼念	c=1 d=1 t=20618
dao pian 	刀片	c=1 d=1 t=32174
dao qi 	到期	c=6 d=1.00038 t=28306
dao qi dao luo 	刀起刀落	c=1 d=1 t=27906
dao qi ri 	到期日	c=1 d=1 t=5829
dao qian 	道歉	c=3 d=1.91638 t=3765
dao re 	导热	c=1 d=1 t=5080
dao ru 	导入	c=13 d=1.43397 t=40573
dao shi 	倒是	c=1 d=1 t=41715
dao shi hou 	到时候	c=14 d=1.66365 t=42033
dao shi ou 	到市区	c=1 d=1 t=34497
dao teng 	倒腾	c=1 d=1 t=13273
dao tou 	到头	c=2 d=1 t=27533
dao wei 	到位	c=1 d=1 t=5363
dao wei 	到尾	c=1 d=1 t=5364
dao xian zai 	到现在	c=1 d=1 t=10996
dao you 	导游	c=1 d=1 t=1788
dao zhi 	导致	c=8 d=1.68111 t=24992
de 	德	c=2 d=1 t=17598
de 	的	c=2380 d=8.24092 t=42089
de dao 	得到	c=1 d=1 t=35439
de hua 	的话	c=10 d=1 t=39443
de jia 	的家	c=0 d=0.1 t=20417
de le 	得了	c=4 d=1 t=30242
de shi 	的是	c=1 d=1 t=7406
de tou 	的头	c=1 d=1 t=15787
de yun 	德云	c=1 d=1 t=38353
deng 	灯	c=12 d=5.3346 t=31857
deng 	登	c=1 d=1 t=17773
deng 	等	c=32 d=1.90701 t=40809
deng dao 	等到	c=2 d=1 t=38633
deng deng 	等等	c=8 d=1 t=41090
deng deng deng 	等等等	c=1 d=1 t=7154
deng lu 	登录	c=20 d=3.06413 t=39066
deng ni 	等你	c=2 d=1 t=19556
deng pao 	灯泡	c=5 d=4.54163 t=31849
deng ta 	等他	c=1 d=1 t=3615
deng wo 	等我	c=3 d=1 t=37333
deng xia 	灯下	c=1 d=1 t=23577
deng xia 	等下	c=1 d=1 t=23578
deng yi xia 	等一下	c=3 d=1.01395 t=28864
deng yu 	等于	c=7 d=1.57407 t=40141
deng zhe 	等着	c=2 d=1 t=24856
deng zhe ba 	等着吧	c=1 d=1 t=32920
deng zhe ni 	等着你	c=1 d=1 t=19540
di 	低	c=1 d=1 t=23288
di 	地	c=4 d=1 t=40703
di 	底	c=1 d=1 t=13814
di bao 	低保	c=1 d=1 t=33111
di cheng 	地秤	c=1 d=1 t=23936
di diao 	低调	c=1 d=1 t=33783
di er ceng 	第二层	c=3 d=2.48914 t=2698
di er ci 	第二次	c=9 d=1 t=39764
di er feng 	第二封	c=1 d=1 t=19994
di er ge 	第二个	c=3 d=1 t=22210
di er ming 	第二名	c=1 d=1 t=3380
di er tian 	第二天	c=6 d=1 t=32394
di fang 	地方	c=27 d=1.9819 t=41184
di fang de 	地方的	c=1 d=1 t=21134
di ji 	第几	c=1 d=1 t=26832
di ji dai 	第几代	c=1 d=1 t=5554
di ji ji 	第几集	c=1 d=1 t=13611
di ka nong 	迪卡侬	c=3 d=2.35145 t=30351
di li 	地理	c=1 d=1 t=38978
di liu dai 	第六代	c=1 d=1 t=38456
di qiu 	地球	c=2 d=1.63227 t=25443
di qiu pai 	地球派	c=1 d=1 t=25444
di qu 	地区	c=1 d=0.1 t=25188
di qu fang wen 	地区访问	c=1 d=1 t=25189
di san fang 	第三方	c=3 d=2.11137 t=16913
di san ge 	第三个	c=1 d=1 t=22246
di san zhen 	第三针	c=1 d=1 t=36915
di shang 	地上	c=6 d=1 t=37868
di shang 	底商	c=1 d=1 t=27527
di shi ni 	迪士尼	c=1 d=1 t=32395
di shui 	抵税	c=2 d=1.96079 t=14609
di tie 	地铁	c=2 d=1.80252 t=1382
di tu 	地图	c=4 d=2.40498 t=31708
di xia 	地下	c=1 d=1 t=23613
di xia shi 	地下室	c=1 d=1 t=13533
di yi 	第一	c=5 d=1 t=30566
di yi ceng 	第一层	c=1 d=1 t=2635
di yi ci 	第一次	c=16 d=1 t=36537
di yi feng 	第一峰	c=1 d=1 t=20004
di yi ge 	第一个	c=6 d=1 t=41688
di yi gei 	第一给	c=1 d=1 t=11685
di yi ju 	第一句	c=3 d=1.6365 t=10512
di yi ming 	第一名	c=1 d=1 t=32923
di yi tian 	第一天	c=2 d=1.0004 t=35136
di yi tiao 	第一条	c=4 d=1.00018 t=29753
di zhi 	地址	c=11 d=2.92196 t=41924
di zhi lan 	地址栏	c=1 d=1 t=25744
dia 	嗲	c=2 d=1.00005 t=7060
dian 	垫	c=1 d=1 t=20194
dian 	店	c=37 d=1.96079 t=40391
dian 	点	c=72 d=1.16304 t=41736
dian 	电	c=4 d=1 t=32955
dian 	颠	c=2 d=1.97045 t=20932
dian can 	点餐	c=1 d=1 t=37559
dian chi 	电池	c=3 d=2.81895 t=32633
dian dian 	点点	c=13 d=1.00262 t=41301
dian dong 	电动	c=1 d=1 t=1512
dian fen 	淀粉	c=0 d=0.1 t=9707
dian fen pian zi 	淀粉片子	c=1 d=1 t=9708
dian ge 	点个	c=1 d=1 t=19683
dian hua 	电话	c=16 d=2.95581 t=41922
dian hua ka 	电话卡	c=2 d=1.96079 t=41128
dian ji 	惦记	c=1 d=1 t=29992
dian ji 	点击	c=7 d=1 t=38321
dian jin qu 	点进去	c=2 d=1 t=31073
dian le 	点了	c=4 d=1 t=28368
dian li 	店里	c=1 d=1 t=36644
dian li ren 	电力人	c=1 d=1 t=41085
dian liang 	电量	c=1 d=1 t=32518
dian lu ban 	电路板	c=2 d=1.99005 t=31646
dian lv 	电驴	c=1 d=1 t=9995
dian nao 	电脑	c=23 d=1.00001 t=40743
dian nao zhuo 	电脑桌	c=3 d=1.99005 t=36789
dian ping 	电瓶	c=1 d=1 t=32609
dian ping che 	电瓶车	c=1 d=1 t=32515
dian ren 	点人	c=1 d=1 t=40515
dian shang 	电商	c=2 d=1 t=12611
dian shi 	电视	c=13 d=1 t=41479
dian shi ju 	电视剧	c=5 d=2.9361 t=24477
dian ti 	点题	c=2 d=1 t=25510
dian ti 	电梯	c=3 d=1.98511 t=36223
dian tu 	垫图	c=5 d=1.99274 t=21281
dian wan 	电丸	c=3 d=1.00001 t=33682
dian wan 	电玩	c=1 d=1 t=29461
dian xian gan 	电线杆	c=1 d=1 t=29151
dian xin 	点心	c=1 d=1 t=9538
dian xin 	电信	c=1 d=1 t=9536
dian xun 	电讯	c=1 d=1 t=28659
dian ying 	电影	c=2 d=1.93239 t=2398
dian yuan 	店员	c=2 d=1 t=29476
dian yuan 	电源	c=2 d=1 t=36808
dian zan 	点赞	c=1 d=1 t=39530
dian zi 	电子	c=0 d=0.1 t=42039
dian zi ban 	电子版	c=1 d=1 t=19277
dian zi yan 	电子烟	c=2 d=1 t=8406
dian zi zhang 	电子章	c=2 d=1.94649 t=42051
diao 	掉	c=7 d=1.86071 t=39734
diao cha 	调查	c=1 d=1 t=9627
diao ding 	吊顶	c=1 d=1 t=21914
diao ding li 	吊顶里	c=1 d=1 t=24362
diao dong 	调动	c=1 d=1 t=10418
diao le 	掉了	c=2 d=1 t=27910
diao si 	屌丝	c=6 d=1 t=37642
diao xia lai 	掉下来	c=1 d=1 t=14338
diao xia qu 	掉下去	c=1 d=1 t=29157
diao yong 	调用	c=4 d=1 t=30110
die 	叠	c=1 d=1 t=9715
die 	爹	c=4 d=3.50646 t=31147
die dai 	迭代	c=0 d=0.1 t=13115
die man 	叠满	c=0 d=0.1 t=35901
die man le 	叠满了	c=1 d=1 t=35902
die wei er 	爹味儿	c=1 d=1 t=37543
ding 	定	c=4 d=1 t=39431
ding ba 	丁坝	c=1 d=1 t=30624
ding dan 	订单	c=18 d=1.68386 t=37498
ding ji 	顶级	c=1 d=1 t=3442
ding jia 	定价	c=1 d=1 t=12629
ding jin 	定金	c=2 d=1.94649 t=30881
ding le 	定了	c=1 d=1 t=23640
ding pei 	顶配	c=1 d=1 t=22752
ding qi 	定期	c=1 d=1 t=9238
ding si 	盯死	c=0 d=0.1 t=23630
ding yi 	定义	c=5 d=1 t=36334
ding yue 	订阅	c=5 d=1 t=39364
ding zai 	定在	c=1 d=1 t=6560
ding zhen si 	碇真嗣	c=2 d=1.97531 t=33070
ding zhi 	定制	c=6 d=1.96079 t=36753
ding zhi hua 	定制化	c=1 d=1 t=12814
diu 	丢	c=1 d=1 t=30521
diu bao 	丢包	c=1 d=1 t=24322
diu le 	丢了	c=4 d=1.72625 t=30576
diu qi 	丢弃	c=2 d=1 t=29308
dong 	东	c=1 d=1 t=27547
dong 	动	c=3 d=1 t=39818
dong 	懂	c=4 d=1 t=29015
dong ba 	东坝	c=1 d=1 t=29014
dong bei 	东北	c=1 d=1 t=18546
dong cheng qu 	东城区	c=1 d=1 t=12923
dong ge 	懂哥	c=1 d=1 t=13097
dong hua pian 	动画片	c=1 d=1 t=2386
dong jie 	东街	c=0 d=0.1 t=22617
dong jing 	东京	c=2 d=1 t=41513
dong jing 	动静	c=1 d=1 t=22947
dong le 	懂了	c=1 d=1 t=28958
dong li 	东里	c=2 d=1.94176 t=23556
dong ma 	懂吗	c=3 d=1.26448 t=27575
dong nan xi bei 	东南西北	c=1 d=1 t=29580
dong tai 	动态	c=4 d=1.45612 t=30142
dong tian 	冬天	c=3 d=1.99005 t=11277
dong xi 	东西	c=39 d=2.88624 t=40739
dong yao 	动摇	c=1 d=1 t=38798
dong zuo 	动作	c=3 d=1 t=31171
dou 	兜	c=1 d=1 t=35836
dou 	抖	c=1 d=1 t=29038
dou 	逗	c=3 d=1.01859 t=34524
dou 	都	c=255 d=2.25924 t=42002
dou bi 	都比	c=1 d=1 t=28032
dou bu 	都不	c=1 d=1 t=37034
dou bu chu 	都不出	c=1 d=1 t=20660
dou cheng 	都成	c=2 d=1 t=22002
dou chu 	抖出	c=1 d=1 t=22725
dou chu 	都出	c=1 d=1 t=24311
dou cong 	都从	c=1 d=1 t=25041
dou dai 	都带	c=1 d=1 t=23896
dou dao 	都到	c=1 d=1 t=39862
